mark,model,description,model_id
RENAULT,Captur,1.6 E-Tech hybride 145ch Evolution,176
CITROEN,C3 Aircross,PureTech 82ch Feel,177
PEUGEOT,208,1.2 PureTech 130ch S&S Allure Pack EAT8,178
PEUGEOT,308,1.5 BlueHDi 130ch S&S Allure Pack EAT8,179
DACIA,Sandero,1.0 ECO-G 100ch Stepway Confort -22,180
CITROEN,C3 Aircross,PureTech 110ch S&S Feel E6.d 6cv,181
CITROEN,C3,1.2 PureTech 110ch S&S Shine Pack EAT6,182
CITROEN,C3,1.5 BlueHDi 100ch S&S C-Series E6.d,183
CITROEN,C3,1.2 PureTech 110ch S&S C-Series 120-121g,184
RENAULT,Zoe,Business charge normale R110 - 20,185
MINI,Mini,Cooper SE 184ch Yours BVA,186
PEUGEOT,308,1.2 PureTech 130ch E6.3 S&S Allure,187
PEUGEOT,2008,1.2 PureTech 130ch S&S GT EAT8,188
RENAULT,Clio,1.0 SCe 65ch Evolution,189
NISSAN,Qashqai,1.3 Mild Hybrid 158ch N-Style Xtronic + roue de secours,190
RENAULT,Clio,1.5 dCi 90ch energy Air MédiaNav E6C,191
PEUGEOT,2008,1.2 PureTech 82ch Active,192
PEUGEOT,208,1.5 BlueHDi 100ch S&S Active BVM6 Auto-Ecole,193
RENAULT,Twingo,E-Tech Electric Intens R80 Achat Intégral - 21MY,194
FORD,Fiesta,1.25 60ch Ambiente 5p,195
RENAULT,Scenic,1.2 TCe 130ch energy Intens,196
PEUGEOT,208,1.2 PureTech 82ch E6.2 Evap Signature 5p,197
LAND-ROVER,Range Rover Sport,3.0 P510e 510ch PHEV Autobiography,198
SKODA,Fabia,1.0 MPI 60ch Drive 125 ans Euro6d-T 3cv,199
RENAULT,Zoe,Intens charge normale Type 2,200
OPEL,Mokka,1.2 Turbo 130ch GS Line,201
BMW,Serie 1,118dA 150ch M Sport 8cv,202
RENAULT,Kadjar,1.5 Blue dCi 115ch Business 131g,203
RENAULT,Captur,1.0 TCe 90ch Evolution,204
BMW,Serie 5 Touring,520dA xDrive 190ch M Sport Steptronic,205
PEUGEOT,2008,1.2 PureTech 130ch S&S GT,206
FORD,Transit Custom,300 L2H1 2.0 EcoBlue 130 Hybrid Trend Business,207
PEUGEOT,2008,1.2 PureTech 110ch Urban Cross S&S,208
DACIA,Sandero,1.0 ECO-G 100ch Stepway,209
SUZUKI,Across,2.5 Hybride Rechargeable 306ch Pack 2023,210
TOYOTA,Yaris,120 VVT-i Dynamic 5p MY22,211
VOLKSWAGEN,T-Roc,2.0 TSI 190ch Carat Exclusive 4Motion DSG7 Euro6d-T,212
VOLVO,Xc40,D3 AdBlue 150ch Inscription Geartronic 8,213
PEUGEOT,3008,1.2 PureTech 130ch S&S GT Pack EAT8,214
RENAULT,Clio,1.6 E-Tech 140ch Business -21,215
TOYOTA,Yaris,116h Design 5p MY21,216
MERCEDES,Classe A Berline,180d 116ch AMG Line 8G-DCT,217
VOLKSWAGEN,Tiguan,2.0 TDI 140ch BlueMotion Technology FAP R Exclusive,218
TOYOTA,Yaris,116h Collection MC24,219
RENAULT,Captur,1.5 dCi 90ch energy Intens EDC,220
CITROEN,C3 Aircross,BlueHDi 120ch S&S Feel Pack Business EAT6,221
PEUGEOT,208,1.5 BlueHDi 100ch S&S Active,222
RENAULT,Clio,1.0 TCe 90ch Intens X-Tronic -21N,223
RENAULT,Clio,1.5 Blue dCi 85ch AIR,224
PEUGEOT,2008,1.5 BlueHDi 100ch E6.c Allure S&S BVM5 86g,225
LEXUS,Ux,250h 2WD Luxe,226
VOLKSWAGEN,Golf Sportsvan,1.5 TSI EVO 130ch BlueMotion Technology Confortline Euro6d-T,227
RENAULT,Twingo,E-Tech Electric Zen R80 Achat Intégral - 21MY,228
BMW,Serie 3 Touring,320dA MH 190ch M Sport,229
PEUGEOT,208,e-208 156ch GT,230
SUZUKI,Swift,1.2 Dualjet Hybrid 83ch Privilège,231
MERCEDES,Classe A,180 d 116ch Style Line 7G-DCT,232
RENAULT,Kadjar,1.5 Blue dCi 115ch Intens 112g,233
CITROEN,C5 Aircross,PureTech 130ch S&S Live E6.d 145g,234
PEUGEOT,308,1.2 Puretech 130ch Allure S&S EAT6 5p,235
FORD,Puma,1.0 EcoBoost 125ch mHEV ST-Line X,236
MERCEDES,Eqs,580 544ch AMG Line 4Matic,237
MERCEDES,Classe B,250 e 163+109ch AMG Line 8G-DCT,238
MERCEDES,Classe A,180 Sensation 7G-DCT,239
CITROEN,Berlingo Van,M 800kg Electrique 136ch Batterie 50 kWh,240
TOYOTA,Prius,122h Lounge,241
PEUGEOT,2008,1.2 PureTech 130ch S&S GT Line 124g,242
RENAULT,Megane Estate,1.5 Blue dCi 115ch Intens -21N,243
RENAULT,Clio,1.0 TCe 90ch Limited -21N,244
RENAULT,Scenic,1.3 TCe 140ch energy Intens,245
NISSAN,Qashqai,1.3 Mild Hybrid 140ch Premiere Edition,246
RENAULT,Scenic,1.3 TCe 140ch FAP Intens EDC,247
PEUGEOT,108,VTi 72 Style S&S 4cv 3p,248
BMW,Serie 2 Active Tourer,218iA 140ch Sport DKG7,249
RENAULT,Captur,1.2 TCe 120ch Helly Hansen EDC,250
MERCEDES,Classe A,180 d 116ch Progressive Line 7G-DCT,251
TOYOTA,Corolla,184h Design MY19,252
TOYOTA,Yaris,HSD 100h Style 5p,253
FORD,Puma,1.0 Flexifuel 125ch Titanium,254
CITROEN,C3 Aircross,PureTech 82ch Shine,255
BMW,X1,ixDrive30 313ch M Sport,256
PEUGEOT,2008,1.2 PureTech 100ch S&S Active 5cv,257
AUDI,Q5 Sportback,50 TFSI e 299ch S line quattro S tronic 7,258
RENAULT,Arkana,1.3 TCe 160ch FAP RS Line EDC -21B,259
DS,Ds 3 Crossback,BlueHDi 130ch Performance Line + Automatique 126g,260
VOLKSWAGEN,Golf,1.4 TSI 204ch Hybride Rechargeable GTE DSG6 Euro6d-T 5p 8cv,261
TOYOTA,Corolla,122h Design MY20,262
MERCEDES,Classe C Break,300 e 204+129ch AMG Line,263
PEUGEOT,308 Sw,1.5 BlueHDi 130 S&S Active 7cv,264
NISSAN,Juke,1.0 DIG-T 117ch N-Connecta,265
DACIA,Sandero,0.9 TCe 90ch Stepway -18,266
MERCEDES,Sprinter,314 CDI 43 3T5 Pro Propulsion Lourd 7G-Tronic Plus,267
DACIA,Lodgy,1.5 Blue dCi 115ch 15 ans 7 places - 20,268
PEUGEOT,308,PHEV 180ch Allure Pack e-EAT8,269
RENAULT,Arkana,1.3 TCe 140ch FAP Zen EDC,270
PEUGEOT,3008,1.2 PureTech 130ch S&S Active EAT8,271
MERCEDES,Gla,200 AMG Line,272
OPEL,Grandland,1.5 D 130ch Ultimate BVA8,273
JAGUAR,E-Pace,2.0D 180ch R-Dynamic HSE AWD BVA9,274
MERCEDES,Classe A,200 163ch AMG Line 7G-DCT,275
CITROEN,C3 Aircross,PureTech 110ch S&S Feel Pack,276
DS,Ds 7 Crossback,E-TENSE 225ch Performance Line +,277
DS,Ds 7 Crossback,PureTech 180ch So Chic Automatique 9cv 119g,278
PEUGEOT,508,HYBRID4 360ch e-EAT8 PEUGEOT SPORT ENGINEERED,279
TOYOTA,Yaris,69 VVT-i Dynamic 5p,280
VOLKSWAGEN,Golf,1.5 eTSI OPF 150ch Life 1st DSG7,281
NISSAN,Qashqai,1.3 DIG-T 140ch Tekna+ Euro6d-T,282
KIA,Picanto,1.2 84ch GT Line Euro6d-T,283
DACIA,Lodgy,1.5 Blue dCi 115ch Techroad 7 places,284
RENAULT,Austral,1.2 E-Tech full hybrid 200ch Iconic esprit Alpine,285
PEUGEOT,2008,1.2 PureTech 130ch E6.c Allure S&S,286
TOYOTA,Yaris,100h France Business 5p MY19,287
RENAULT,Clio,1.5 Blue dCi 100ch Business 21N,288
CITROEN,C3,PureTech 82ch Feel,289
RENAULT,Captur,1.6 E-Tech hybride rechargeable 160ch Techno,290
BMW,X2,sDrive18iA 136ch M Sport DKG7,291
TOYOTA,C-Hr,122h Dynamic 2WD E-CVT RC18,292
TOYOTA,Yaris,116h Design 5p,293
PEUGEOT,2008,1.2 PureTech 130ch Féline Titane S&S,294
PEUGEOT,2008,1.2 PureTech 100ch S&S Style,295
JAGUAR,F-Pace,P400e Plug-in-Hybrid R-Dynamic SE BVA8 AWD,296
FORD,Puma,1.0 Flexifuel 125ch S&S mHEV Titanium,297
CITROEN,C5 Aircross,Hybrid 225ch Shine e-EAT8,298
ABARTH,500,1.4 Turbo T-Jet 180ch 695 Rivale BVA,299
HYUNDAI,Kona,Electric 204ch Executive Euro6d-T EVAP,300
LEXUS,Ux,300e Luxe,301
MASERATI,Levante,3.8 V8 580ch Trofeo,302
AUDI,A1 Sportback,30 TFSI 110ch Advanced,303
BMW,I3,170ch 120Ah iLife Atelier,304
BMW,Serie 4 Gran Coupe,420dA 184ch Luxury,305
RENAULT,Master,F3300 L2H2 2.3 Blue dCi 135ch Grand Confort Euro6E,306
CITROEN,C3,1.5 BlueHDi 100ch S&S Shine Business,307
AUDI,A6,40 TDI 204ch S line S tronic 7,308
TOYOTA,Corolla Touring Sports,2.0 196ch Collection MY23,309
RENAULT,Austral,1.2 E-Tech full hybrid 200ch Techno esprit Alpine - 23,310
PEUGEOT,3008,1.6 THP 165ch Allure S&S EAT6,311
BMW,Serie 2 Active Tourer,220iA 192ch M Sport DKG7,312
RENAULT,Clio,1.3 TCe 130ch FAP Intens EDC,313
MERCEDES,Cla Shooting Brake,200 163ch AMG Line 7G-DCT,314
DS,Ds 3 Crossback,BlueHDi 130ch So Chic Automatique 98g,315
VOLKSWAGEN,Golf,1.0 TSI OPF 110ch Life Plus,316
RENAULT,Megane,E-Tech Electric EV60 130ch Evolution ER super charge,317
RENAULT,Zoe,Life charge normale R110 4cv,318
PEUGEOT,2008,1.2 PureTech 82ch Style,319
MINI,Clubman,One 102ch Canonbury 5cv,320
SUZUKI,Vitara,1.5 Dualjet Hybrid 102ch Style Auto,321
CITROEN,C3,PureTech 82ch Graphic,322
MERCEDES,Eqt,200 122ch Progressive,323
MINI,Countryman,Cooper SE 125ch + 95ch Northwood ALL4 BVA6,324
BMW,X2,sDrive18dA 150ch M Sport DKG7,325
CITROEN,C4 Cactus,PureTech 110ch S&S Feel E6.d-TEMP,326
RENAULT,Clio,1.5 dCi 90ch Intens Euro6c,327
DACIA,Duster,1.2 TCe 125ch Prestige 4X2 Euro6,328
RENAULT,Arkana,1.3 TCe 140ch Intens EDC,329
TOYOTA,C-Hr,122h Graphic 2WD E-CVT MC19,330
RENAULT,Megane,E-Tech Electric EV40 130ch Techno standard charge,331
MINI,Countryman,Cooper SE 136ch + 88ch Longstone ALL4 BVA,332
PEUGEOT,308,1.6 THP 205ch GT S&S 5p,333
CITROEN,C5 Aircross,Hybrid 225ch C-Series e-EAT8,334
PEUGEOT,Expert,Standard 2.0 BlueHDi 120ch S&S Premium,335
RENAULT,Captur,1.0 TCe 100ch Business,336
PEUGEOT,308,1.2 Puretech 130ch Allure S&S 5p,337
VOLKSWAGEN,Id.5,204ch Pro Performance 77 kWh,338
MERCEDES,Classe B,200d 150ch AMG Line 8G-DCT,339
FORD,Focus,1.0 Flexifuel mHEV 125ch ST-Line X,340
TOYOTA,Yaris,100 VVT-i Dynamic 5p,341
RENAULT,Clio,1.0 TCe 100ch Zen,342
PEUGEOT,3008,1.2 PureTech 130ch S&S Allure,343
PEUGEOT,208,1.2 PureTech 110ch Féline S&S EAT6 5p,344
DACIA,Duster,1.0 ECO-G 100ch Confort 4x2 - E6U,345
SUZUKI,Vitara,1.6 DDiS Copper Edition AllGrip,346
CITROEN,C3 Aircross,PureTech 110ch S&S Shine EAT6 E6.d-TEMP,347
TOYOTA,Rav4,2.5 Hybride 222ch Lounge AWD-i MY22,348
MERCEDES,Gla,200 d 150ch Progressive Line 8G-DCT,349
DACIA,Duster,1.3 TCe 130ch FAP Journey 4x2,350
RENAULT,Clio,1.0 SCe 65ch Zen -21N,351
DACIA,Spring,Confort Plus Caméra Carplay - Achat Intégral - Gtie 1an,352
PEUGEOT,3008,1.2 PureTech 130ch Allure S&S EAT6,353
RENAULT,Clio,1.6 E-Tech hybride 145ch Techno,354
RENAULT,Captur,1.5 Blue dCi 95ch Zen,355
PEUGEOT,5008,1.5 BlueHDi 130ch S&S GT EAT8,356
PEUGEOT,308,1.2 PureTech 130ch E6.c S&S GT Line 108g,357
DACIA,Spring,Confort - Achat Intégral,358
BMW,Ix,xDrive50 523ch,359
LAND-ROVER,Range Rover Evoque,2.0 D 200ch R-Dynamic SE AWD BVA,360
RENAULT,Scenic,1.3 TCe 160ch energy Initiale Paris EDC,361
BMW,X7,M50iA xDrive 530ch M Performance,362
TOYOTA,Aygo X,1.0 VVT-i 72ch Air Design MY23,363
FORD,Fiesta,1.0 EcoBoost 100ch Stop&Start Titanium 5p Euro6.2,364
VOLKSWAGEN,T-Cross,1.0 TSI 110ch R-Line Tech,365
CITROEN,C3 Aircross,BlueHDi 100ch S&S Feel Business E6.d 120g,366
DS,Ds 3 Crossback,E-Tense Performance Line +,367
RENAULT,Zoe,Intens R110 MY19,368
KIA,Xceed,1.6 GDi 141ch PHEV Active DCT6,369
NISSAN,Micra,1.0 IG-T 100ch Acenta Xtronic 2019 Euro6-EVAP,370
MERCEDES,Eqa,250 190ch AMG Line,371
DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - 20,372
VOLKSWAGEN,Polo,1.0 TSI 110ch R-Line DSG7,373
FORD,Puma,1.0 EcoBoost 125ch mHEV Titanium Business 6cv,374
VOLKSWAGEN,Tiguan,1.4 TSI 150ch ACT BlueMotion Technology Confortline,375
CITROEN,C5 X,Hybride rechargeable 225ch Feel Pack ëEAT8,376
PEUGEOT,2008,1.2 PureTech 130ch S&S GT Line 7cv,377
RENAULT,Kangoo,1.3 TCe 100ch Equilibre TPMR,378
DS,Ds 4,PureTech 130ch Sport Chic S&S,379
PEUGEOT,3008,HYBRID4 300ch GT Line e-EAT8,380
RENAULT,Zoe,Intens R110 MY19 LOCATION BATTERIE,381
FORD,Focus,1.0 EcoBoost 125ch Stop&Start Titanium,382
MERCEDES,Glc,220 d 194ch AMG Line 4Matic 9G-Tronic,383
PEUGEOT,Rifter,PureTech 110ch S&S Long GT Line 119g,384
MERCEDES,Eqa,250 190ch Progressive Line,385
RENAULT,Twingo,0.9 TCe 95ch Zen - 20,386
RENAULT,Arkana,1.3 TCe 140ch FAP Intens EDC -21B,387
RENAULT,Clio,1.0 TCe 90ch Intens X-Tronic -21,388
TOYOTA,Yaris,116h Iconic 5p MY22,389
TOYOTA,Aygo,1.0 VVT-i 72ch x-play x-app 5p MC18,390
RENAULT,Megane,E-Tech Electric EV60 220ch Techno optimum charge,391
MERCEDES,Gla,200 d 150ch AMG Line 8G-DCT,392
FORD,Puma,1.0 Flexifuel 125ch ST-Line,393
TOYOTA,Yaris Cross,116h Design MY22,394
RENAULT,Arkana,1.6 E-Tech hybride 145ch Engineered -22,395
PEUGEOT,308,1.5 BlueHDi 130ch S&S Allure Business,396
PEUGEOT,208,e-208 136ch Allure Pack,397
CITROEN,C3 Aircross,PureTech 110ch S&S Shine E6.d-TEMP,398
BMW,X2,sDrive16d 116ch M Sport Euro6d-T,399
DACIA,Sandero,1.0 TCe 90ch Expression,400
PEUGEOT,208,e-208 136ch GT Line,401
RENAULT,Clio,1.3 TCe 140 Techno Caméra Gps Carplay 1900Kms Gtie 06/2025,402
DACIA,Logan,1.0 SCe 75ch Ambiance -18,403
DS,Ds 7 Crossback,E-TENSE 4x4 300ch Grand Chic,404
DACIA,Sandero,1.0 SCe 65ch Confort -22,405
MERCEDES,Vito,114 CDI Mixto Long Select Propulsion 9G-Tronic,406
CITROEN,C-Zero,Confort,407
TOYOTA,C-Hr,1.8 Hybride 122ch Design E-CVT,408
PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure Business S&S EAT8,409
RENAULT,Austral,1.2 TCe mild hybrid advanced 130ch Techno,410
PEUGEOT,508,HYBRID 225ch GT e-EAT8,411
RENAULT,Clio,1.0 SCe 65ch Life,412
FORD,Kuga,2.5 Duratec 225ch PHEV ST-Line Business BVA,413
